,multiqc 3_shell_commands.txt,startPE_shell_commands.txt,RNA_SeqC_shell_commands.txt,merge_trimmed_PE_shell_commands.txt,merge_trimmed_SE_shell_commands.txt,sort_bams_shell_commands.txt,sort_index_bams_shell_commands.txt,cutadapt 2_shell_commands.txt,fastqc 3_shell_commands.txt,starSE_shell_commands.txt,hisat2_shell_commands.txt,generate_genome_star_index_shell_commands.txt,rsem_norm_shell_commands.txt,tximeta_shell_commands.txt,fastp_trimming_PE_shell_commands.txt,pass2_shell_commands.txt,cutadapt_shell_commands.txt,run_star_se_shell_commands.txt,salmon_quant_pe_shell_commands.txt,fetch_unique_stringtie_shell_commands.txt,bigwig_shell_commands.txt,run_star_pe_shell_commands.txt,edgeR_shell_commands.txt,salmon_quant_se_shell_commands.txt,fastp_trimming_SE_shell_commands.txt,fastqc 5_shell_commands.txt,trim_galore_pe_shell_commands.txt,samtools_flagstat_shell_commands.txt,bamindex_shell_commands.txt,expressbam_shell_commands.txt,map_shell_commands.txt,pass1_shell_commands.txt,fastqScreen_shell_commands.txt,featureCounts 2_shell_commands.txt,run_multiqc_shell_commands.txt,picard_rna_seq_shell_commands.txt,trimgaloreSE_shell_commands.txt,kallistoQuant_shell_commands.txt,fastqc_trimmed_shell_commands.txt,salmonSE_shell_commands.txt,MultiQC_shell_commands.txt,salmon_index_shell_commands.txt,salmonPE_shell_commands.txt,featureCounts_shell_commands.txt,sortbam_shell_commands.txt,trimgalorePE_shell_commands.txt,fastqc 4_shell_commands.txt,mark_dups_shell_commands.txt,fastqc 2_shell_commands.txt,salmon_quant_shell_commands.txt,starindex_shell_commands.txt,fastqctrimmed_shell_commands.txt,sampleReads_shell_commands.txt,star_genome_shell_commands.txt,fastqcrim_shell_commands.txt,fastqc_shell_commands.txt,compare_reference_stringtie_shell_commands.txt,DRIMSeq_shell_commands.txt,multiqc 2_shell_commands.txt,salmon_index_extended_shell_commands.txt,samtools_bam_shell_commands.txt,samlon_quant_shell_commands.txt
fastqScreen_shell_commands.txt,0.0,0.08695652173913049,0.0,0.0,0.0,0.0,0.0,0.10869565217391308,0.0,0.08695652173913049,0.06521739130434778,0.0,0.17391304347826086,0.14427860696517414,0.0,0.04347826086956519,0.10869565217391308,0.0,0.0,0.0,0.11111111111111116,0.0,0.13043478260869568,0.0,0.0,0.21739130434782605,0.0,0.21739130434782605,0.11111111111111116,0.2068965517241379,0.0,0.04347826086956519,1.0,0.27586206896551724,0.27450980392156865,0.0,0.16666666666666663,0.08695652173913049,0.21739130434782605,0.09999999999999998,0.13461538461538458,0.0,0.09999999999999998,0.0,0.23913043478260865,0.16666666666666663,0.0,0.10869565217391308,0.2295081967213115,0.0,0.16806722689075626,0.12,0.36734693877551017,0.04347826086956519,0.0,0.12,0.0,0.14102564102564108,0.10869565217391308,0.0,0.21739130434782605,0.10869565217391308
featureCounts 2_shell_commands.txt,0.0,0.12068965517241381,0.0,0.0,0.0,0.0,0.0,0.12068965517241381,0.0,0.12068965517241381,0.06896551724137934,0.0,0.2068965517241379,0.20398009950248752,0.0,0.0,0.12068965517241381,0.0,0.0,0.0,0.10344827586206895,0.0,0.17391304347826086,0.0,0.0,0.1724137931034483,0.0,0.3620689655172413,0.08620689655172409,0.2068965517241379,0.0,0.0,0.27586206896551724,1.0,0.15517241379310343,0.0,0.06666666666666665,0.06896551724137934,0.1594202898550725,0.10344827586206895,0.10344827586206895,0.0,0.10344827586206895,0.0,0.22413793103448276,0.06666666666666665,0.0,0.12068965517241381,0.180327868852459,0.0,0.2016806722689075,0.12068965517241381,0.4137931034482759,0.0,0.0,0.12068965517241381,0.0,0.18803418803418803,0.1724137931034483,0.0,0.3448275862068966,0.12068965517241381
run_multiqc_shell_commands.txt,0.0,0.07843137254901966,0.0,0.0,0.0,0.0,0.0,0.11764705882352944,0.0,0.07843137254901966,0.05882352941176472,0.0,0.196078431372549,0.14427860696517414,0.0,0.0,0.11764705882352944,0.0,0.0,0.0,0.09259259259259256,0.0,0.13438735177865613,0.0,0.0,0.17647058823529416,0.0,0.1568627450980392,0.11111111111111116,0.12068965517241381,0.0,0.0,0.27450980392156865,0.15517241379310343,1.0,0.0,0.15000000000000002,0.0980392156862745,0.2753623188405797,0.07843137254901966,0.13461538461538458,0.0,0.07843137254901966,0.0,0.1568627450980392,0.15000000000000002,0.0,0.13725490196078427,0.2786885245901639,0.0,0.16806722689075626,0.07843137254901966,0.13725490196078427,0.0,0.0,0.07843137254901966,0.0,0.14529914529914534,0.27450980392156865,0.0,0.17647058823529416,0.0980392156862745
picard_rna_seq_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
trimgaloreSE_shell_commands.txt,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.6333333333333333,0.08333333333333337,0.0,0.1166666666666667,0.14925373134328357,0.0,0.033333333333333326,0.050000000000000044,0.0,0.0,0.0,0.6666666666666667,0.0,0.12648221343873522,0.0,0.0,0.1166666666666667,0.0,0.15000000000000002,0.7,0.06666666666666665,0.0,0.033333333333333326,0.16666666666666663,0.06666666666666665,0.15000000000000002,0.0,1.0,0.09999999999999998,0.18840579710144922,0.7,0.6666666666666667,0.0,0.7,0.0,0.15000000000000002,1.0,0.0,0.1333333333333333,0.19672131147540983,0.0,0.17647058823529416,0.6666666666666667,0.1333333333333333,0.033333333333333326,0.0,0.6666666666666667,0.0,0.1282051282051282,0.16666666666666663,0.0,0.1333333333333333,0.09999999999999998
kallistoQuant_shell_commands.txt,0.0,0.06521739130434778,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.0,0.06521739130434778,0.5384615384615384,0.0,0.11764705882352944,0.04477611940298509,0.0,0.0,0.07692307692307687,0.0,0.0,0.0,0.07407407407407407,0.0,0.031620553359683834,0.0,0.0,0.10526315789473684,0.0,0.1875,0.11111111111111116,0.051724137931034475,0.0,0.0,0.08695652173913049,0.06896551724137934,0.0980392156862745,0.0,0.09999999999999998,1.0,0.08695652173913049,0.09999999999999998,0.09615384615384615,0.0,0.09999999999999998,0.0,0.07317073170731703,0.09999999999999998,0.0,0.125,0.08196721311475408,0.0,0.04201680672268904,0.09999999999999998,0.1428571428571429,0.0,0.0,0.09999999999999998,0.0,0.03418803418803418,0.10526315789473684,0.0,0.16129032258064513,0.15384615384615385
fastqc_trimmed_shell_commands.txt,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.13043478260869568,0.0,0.17391304347826086,0.10144927536231885,0.0,0.1594202898550725,0.20398009950248752,0.0,0.0,0.10144927536231885,0.0,0.0,0.0,0.2028985507246377,0.0,0.17391304347826086,0.0,0.0,0.21739130434782605,0.0,0.2028985507246377,0.21739130434782605,0.1594202898550725,0.0,0.0,0.21739130434782605,0.1594202898550725,0.2753623188405797,0.0,0.18840579710144922,0.08695652173913049,1.0,0.2028985507246377,0.2028985507246377,0.0,0.2028985507246377,0.0,0.18840579710144922,0.18840579710144922,0.0,0.13043478260869568,0.8840579710144928,0.0,0.18487394957983194,0.26086956521739135,0.21739130434782605,0.0,0.0,0.26086956521739135,0.0,0.18803418803418803,0.26086956521739135,0.0,0.21739130434782605,0.08695652173913049
salmonSE_shell_commands.txt,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.06000000000000005,0.0,0.78,0.07999999999999996,0.0,0.14,0.14427860696517414,0.0,0.040000000000000036,0.06000000000000005,0.0,0.0,0.0,0.7407407407407407,0.0,0.11462450592885376,0.0,0.0,0.09999999999999998,0.0,0.18000000000000005,0.7962962962962963,0.10344827586206895,0.0,0.040000000000000036,0.09999999999999998,0.10344827586206895,0.07843137254901966,0.0,0.7,0.09999999999999998,0.2028985507246377,1.0,0.7692307692307692,0.0,1.0,0.0,0.07999999999999996,0.7,0.0,0.14,0.21311475409836067,0.0,0.1512605042016807,0.8,0.09999999999999998,0.040000000000000036,0.0,0.8,0.0,0.11965811965811968,0.12,0.0,0.14,0.14
MultiQC_shell_commands.txt,0.0,0.7307692307692308,0.0,0.0,0.0,0.0,0.0,0.07692307692307687,0.0,0.7307692307692308,0.07692307692307687,0.0,0.09615384615384615,0.12935323383084574,0.0,0.019230769230769273,0.07692307692307687,0.0,0.0,0.0,0.7407407407407407,0.0,0.11067193675889331,0.0,0.0,0.13461538461538458,0.0,0.13461538461538458,0.7407407407407407,0.12068965517241381,0.0,0.019230769230769273,0.13461538461538458,0.10344827586206895,0.13461538461538458,0.0,0.6666666666666667,0.09615384615384615,0.2028985507246377,0.7692307692307692,1.0,0.0,0.7692307692307692,0.0,0.15384615384615385,0.6666666666666667,0.0,0.17307692307692313,0.21311475409836067,0.0,0.1428571428571429,0.8461538461538461,0.09615384615384615,0.019230769230769273,0.0,0.8461538461538461,0.0,0.11538461538461542,0.28846153846153844,0.0,0.15384615384615385,0.09615384615384615
salmon_index_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
salmonPE_shell_commands.txt,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.06000000000000005,0.0,0.78,0.07999999999999996,0.0,0.14,0.14427860696517414,0.0,0.040000000000000036,0.06000000000000005,0.0,0.0,0.0,0.7407407407407407,0.0,0.11462450592885376,0.0,0.0,0.09999999999999998,0.0,0.18000000000000005,0.7962962962962963,0.10344827586206895,0.0,0.040000000000000036,0.09999999999999998,0.10344827586206895,0.07843137254901966,0.0,0.7,0.09999999999999998,0.2028985507246377,1.0,0.7692307692307692,0.0,1.0,0.0,0.07999999999999996,0.7,0.0,0.14,0.21311475409836067,0.0,0.1512605042016807,0.8,0.09999999999999998,0.040000000000000036,0.0,0.8,0.0,0.11965811965811968,0.12,0.0,0.14,0.14
featureCounts_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
sortbam_shell_commands.txt,0.0,0.08695652173913049,0.0,0.0,0.0,0.0,0.0,0.09756097560975607,0.0,0.08695652173913049,0.07317073170731703,0.0,0.12195121951219512,0.1393034825870647,0.0,0.07317073170731703,0.12195121951219512,0.0,0.0,0.0,0.12962962962962965,0.0,0.10671936758893286,0.0,0.0,0.29268292682926833,0.0,0.24390243902439024,0.12962962962962965,0.2931034482758621,0.0,0.07317073170731703,0.23913043478260865,0.22413793103448276,0.1568627450980392,0.0,0.15000000000000002,0.07317073170731703,0.18840579710144922,0.07999999999999996,0.15384615384615385,0.0,0.07999999999999996,0.0,1.0,0.15000000000000002,0.0,0.09756097560975607,0.21311475409836067,0.0,0.19327731092436973,0.12,0.16326530612244894,0.07317073170731703,0.0,0.12,0.0,0.11538461538461542,0.07317073170731703,0.0,0.24390243902439024,0.14634146341463417
trimgalorePE_shell_commands.txt,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.6333333333333333,0.08333333333333337,0.0,0.1166666666666667,0.14925373134328357,0.0,0.033333333333333326,0.050000000000000044,0.0,0.0,0.0,0.6666666666666667,0.0,0.12648221343873522,0.0,0.0,0.1166666666666667,0.0,0.15000000000000002,0.7,0.06666666666666665,0.0,0.033333333333333326,0.16666666666666663,0.06666666666666665,0.15000000000000002,0.0,1.0,0.09999999999999998,0.18840579710144922,0.7,0.6666666666666667,0.0,0.7,0.0,0.15000000000000002,1.0,0.0,0.1333333333333333,0.19672131147540983,0.0,0.17647058823529416,0.6666666666666667,0.1333333333333333,0.033333333333333326,0.0,0.6666666666666667,0.0,0.1282051282051282,0.16666666666666663,0.0,0.1333333333333333,0.09999999999999998
fastqc 4_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
mark_dups_shell_commands.txt,0.0,0.10869565217391308,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.10869565217391308,0.0625,0.0,0.05882352941176472,0.05970149253731338,0.0,0.0,0.1875,0.0,0.0,0.0,0.14814814814814814,0.0,0.0513833992094862,0.0,0.0,0.07894736842105265,0.0,0.15625,0.12962962962962965,0.08620689655172409,0.0,0.0,0.10869565217391308,0.12068965517241381,0.13725490196078427,0.0,0.1333333333333333,0.125,0.13043478260869568,0.14,0.17307692307692313,0.0,0.14,0.0,0.09756097560975607,0.1333333333333333,0.0,1.0,0.11475409836065575,0.0,0.07563025210084029,0.14,0.16326530612244894,0.0,0.0,0.14,0.0,0.05555555555555558,0.13157894736842102,0.0,0.12903225806451613,0.125
fastqc 2_shell_commands.txt,0.0,0.180327868852459,0.0,0.0,0.0,0.0,0.0,0.11475409836065575,0.0,0.180327868852459,0.09836065573770492,0.0,0.16393442622950816,0.20398009950248752,0.0,0.0,0.11475409836065575,0.0,0.0,0.0,0.21311475409836067,0.0,0.1620553359683794,0.0,0.0,0.2295081967213115,0.0,0.2295081967213115,0.2295081967213115,0.16393442622950816,0.0,0.0,0.2295081967213115,0.180327868852459,0.2786885245901639,0.0,0.19672131147540983,0.08196721311475408,0.8840579710144928,0.21311475409836067,0.21311475409836067,0.0,0.21311475409836067,0.0,0.21311475409836067,0.19672131147540983,0.0,0.11475409836065575,1.0,0.0,0.19327731092436973,0.2295081967213115,0.21311475409836067,0.0,0.0,0.2295081967213115,0.0,0.17521367521367526,0.29508196721311475,0.0,0.24590163934426235,0.09836065573770492
salmon_quant_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
starindex_shell_commands.txt,0.0,0.10924369747899154,0.0,0.0,0.0,0.0,0.0,0.05882352941176472,0.0,0.10924369747899154,0.04201680672268904,0.0,0.07563025210084029,0.23383084577114432,0.0,0.03361344537815125,0.050420168067226934,0.0,0.0,0.0,0.134453781512605,0.0,0.22134387351778662,0.0,0.0,0.1512605042016807,0.0,0.16806722689075626,0.134453781512605,0.19327731092436973,0.0,0.03361344537815125,0.16806722689075626,0.2016806722689075,0.16806722689075626,0.0,0.17647058823529416,0.04201680672268904,0.18487394957983194,0.1512605042016807,0.1428571428571429,0.0,0.1512605042016807,0.0,0.19327731092436973,0.17647058823529416,0.0,0.07563025210084029,0.19327731092436973,0.0,1.0,0.12605042016806722,0.17647058823529416,0.03361344537815125,0.0,0.12605042016806722,0.0,0.2222222222222222,0.11764705882352944,0.0,0.15966386554621848,0.0672268907563025
fastqctrimmed_shell_commands.txt,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.07999999999999996,0.0,0.76,0.07999999999999996,0.0,0.12,0.13432835820895528,0.0,0.020000000000000018,0.07999999999999996,0.0,0.0,0.0,0.7407407407407407,0.0,0.11067193675889331,0.0,0.0,0.21999999999999997,0.0,0.18000000000000005,0.7777777777777778,0.10344827586206895,0.0,0.020000000000000018,0.12,0.12068965517241381,0.07843137254901966,0.0,0.6666666666666667,0.09999999999999998,0.26086956521739135,0.8,0.8461538461538461,0.0,0.8,0.0,0.12,0.6666666666666667,0.0,0.14,0.2295081967213115,0.0,0.12605042016806722,1.0,0.12,0.020000000000000018,0.0,1.0,0.0,0.11538461538461542,0.14,0.0,0.14,0.09999999999999998
sampleReads_shell_commands.txt,0.0,0.10204081632653061,0.0,0.0,0.0,0.0,0.0,0.1428571428571429,0.0,0.10204081632653061,0.10204081632653061,0.0,0.20408163265306123,0.17910447761194026,0.0,0.020408163265306145,0.10204081632653061,0.0,0.0,0.0,0.11111111111111116,0.0,0.15810276679841895,0.0,0.0,0.10204081632653061,0.0,0.2857142857142857,0.14814814814814814,0.13793103448275867,0.0,0.020408163265306145,0.36734693877551017,0.4137931034482759,0.13725490196078427,0.0,0.1333333333333333,0.1428571428571429,0.21739130434782605,0.09999999999999998,0.09615384615384615,0.0,0.09999999999999998,0.0,0.16326530612244894,0.1333333333333333,0.0,0.16326530612244894,0.21311475409836067,0.0,0.17647058823529416,0.12,1.0,0.020408163265306145,0.0,0.12,0.0,0.1709401709401709,0.10204081632653061,0.0,0.24489795918367352,0.16326530612244894
star_genome_shell_commands.txt,0.0,0.10869565217391308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10869565217391308,0.0,0.0,0.05882352941176472,0.00497512437810943,0.0,1.0,0.11111111111111116,0.0,0.0,0.0,0.01851851851851849,0.0,0.007905138339920903,0.0,0.0,0.052631578947368474,0.0,0.0,0.01851851851851849,0.017241379310344862,0.0,1.0,0.04347826086956519,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.040000000000000036,0.019230769230769273,0.0,0.040000000000000036,0.0,0.07317073170731703,0.033333333333333326,0.0,0.0,0.0,0.0,0.03361344537815125,0.020000000000000018,0.020408163265306145,1.0,0.0,0.020000000000000018,0.0,0.008547008547008517,0.0,0.0,0.032258064516129004,0.08333333333333337
fastqcrim_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
fastqc_shell_commands.txt,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.07999999999999996,0.0,0.76,0.07999999999999996,0.0,0.12,0.13432835820895528,0.0,0.020000000000000018,0.07999999999999996,0.0,0.0,0.0,0.7407407407407407,0.0,0.11067193675889331,0.0,0.0,0.21999999999999997,0.0,0.18000000000000005,0.7777777777777778,0.10344827586206895,0.0,0.020000000000000018,0.12,0.12068965517241381,0.07843137254901966,0.0,0.6666666666666667,0.09999999999999998,0.26086956521739135,0.8,0.8461538461538461,0.0,0.8,0.0,0.12,0.6666666666666667,0.0,0.14,0.2295081967213115,0.0,0.12605042016806722,1.0,0.12,0.020000000000000018,0.0,1.0,0.0,0.11538461538461542,0.14,0.0,0.14,0.09999999999999998
compare_reference_stringtie_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
DRIMSeq_shell_commands.txt,0.0,0.09829059829059827,0.0,0.0,0.0,0.0,0.0,0.038461538461538436,0.0,0.09829059829059827,0.02564102564102566,0.0,0.0641025641025641,0.4871794871794872,0.0,0.008547008547008517,0.03418803418803418,0.0,0.0,0.0,0.1282051282051282,0.0,0.8142292490118577,0.0,0.0,0.09401709401709402,0.0,0.11538461538461542,0.13247863247863245,0.13247863247863245,0.0,0.008547008547008517,0.14102564102564108,0.18803418803418803,0.14529914529914534,0.0,0.1282051282051282,0.03418803418803418,0.18803418803418803,0.11965811965811968,0.11538461538461542,0.0,0.11965811965811968,0.0,0.11538461538461542,0.1282051282051282,0.0,0.05555555555555558,0.17521367521367526,0.0,0.2222222222222222,0.11538461538461542,0.1709401709401709,0.008547008547008517,0.0,0.11538461538461542,0.0,1.0,0.09829059829059827,0.0,0.10256410256410253,0.038461538461538436
multiqc 2_shell_commands.txt,0.0,0.08695652173913049,0.0,0.0,0.0,0.0,0.0,0.13157894736842102,0.0,0.08695652173913049,0.07894736842105265,0.0,0.13157894736842102,0.10447761194029848,0.0,0.0,0.13157894736842102,0.0,0.0,0.0,0.11111111111111116,0.0,0.08695652173913049,0.0,0.0,0.07894736842105265,0.0,0.10526315789473684,0.14814814814814814,0.2068965517241379,0.0,0.0,0.10869565217391308,0.1724137931034483,0.27450980392156865,0.0,0.16666666666666663,0.10526315789473684,0.26086956521739135,0.12,0.28846153846153844,0.0,0.12,0.0,0.07317073170731703,0.16666666666666663,0.0,0.13157894736842102,0.29508196721311475,0.0,0.11764705882352944,0.14,0.10204081632653061,0.0,0.0,0.14,0.0,0.09829059829059827,1.0,0.0,0.1578947368421053,0.13157894736842102
salmon_index_extended_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
samtools_bam_shell_commands.txt,0.0,0.10869565217391308,0.0,0.0,0.0,0.0,0.0,0.09677419354838712,0.0,0.10869565217391308,0.06451612903225812,0.0,0.09677419354838712,0.11940298507462688,0.0,0.032258064516129004,0.12903225806451613,0.0,0.0,0.0,0.20370370370370372,0.0,0.09486166007905139,0.0,0.0,0.1842105263157895,0.0,0.75,0.2592592592592593,0.3275862068965517,0.0,0.032258064516129004,0.21739130434782605,0.3448275862068966,0.17647058823529416,0.0,0.1333333333333333,0.16129032258064513,0.21739130434782605,0.14,0.15384615384615385,0.0,0.14,0.0,0.24390243902439024,0.1333333333333333,0.0,0.12903225806451613,0.24590163934426235,0.0,0.15966386554621848,0.14,0.24489795918367352,0.032258064516129004,0.0,0.14,0.0,0.10256410256410253,0.1578947368421053,0.0,1.0,0.19354838709677424
samlon_quant_shell_commands.txt,0.0,0.08695652173913049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913049,0.0,0.0,0.17647058823529416,0.04975124378109452,0.0,0.08333333333333337,0.25,0.0,0.0,0.0,0.07407407407407407,0.0,0.035573122529644285,0.0,0.0,0.1578947368421053,0.0,0.1875,0.12962962962962965,0.06896551724137934,0.0,0.08333333333333337,0.10869565217391308,0.12068965517241381,0.0980392156862745,0.0,0.09999999999999998,0.15384615384615385,0.08695652173913049,0.14,0.09615384615384615,0.0,0.14,0.0,0.14634146341463417,0.09999999999999998,0.0,0.125,0.09836065573770492,0.0,0.0672268907563025,0.09999999999999998,0.16326530612244894,0.08333333333333337,0.0,0.09999999999999998,0.0,0.038461538461538436,0.13157894736842102,0.0,0.19354838709677424,1.0
